URL,YEAR,MAKE,MODEL,PRICE,STATE,ODOMETER,TRANSMISSION,FUEL,COLOR,CYLINDERS,CONDITION
https://orangecounty.craigslist.org//cto/5890999024.html,2013,Toyota,Camry,$13000,California,39000,automatic,gas,black,unk,excellent,clean
https://orangecounty.craigslist.org//ctd/5890956379.html,2010,Toyota,Camry,$8000,California,93400,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5890762776.html,2011,Toyota,Camry,$10591,California,83350,automatic,gas,unk,unk,excellent,clean
https://orangecounty.craigslist.org//ctd/5890165402.html,2012,Toyota,Camry,$10900,California,unk,automatic,gas,white,4 cylinders,unk,clean
https://orangecounty.craigslist.org//ctd/5889965560.html,2011,Toyota,Camry,$9995,California,50386,automatic,gas,white,4 cylinders,unk,clean
https://orangecounty.craigslist.org//cto/5889920628.html,2012,Toyota,Camry,$15500,California,35000,automatic,gas,black,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5889788356.html,2012,Toyota,Camry,$12999,California,74918,automatic,gas,grey,4 cylinders,like new,clean
https://orangecounty.craigslist.org//ctd/5889690455.html,2014,Toyota,Camry,$14499,California,unk,automatic,gas,grey,4 cylinders,like new,clean
https://orangecounty.craigslist.org//ctd/5889684750.html,2014,Toyota,Camry,$12999,California,73007,automatic,gas,custom,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5889444131.html,2010,Toyota,Camry,$9997,California,unk,automatic,other,silver,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5889382723.html,2014,Toyota,Camry,$13977,California,43916,automatic,gas,white,unk,Used,clean
https://orangecounty.craigslist.org//cto/5889152121.html,2010,Toyota,Camry,$2014,California,unk,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//cto/5888933785.html,2010,Toyota,Camry,$6900,California,148000,automatic,gas,silver,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5888930991.html,2010,Toyota,Camry,$6900,California,148000,automatic,gas,silver,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//ctd/5888369864.html,2012,Toyota,Camry,$15750,California,63920,automatic,gas,grey,6 cylinders,like new,clean
https://orangecounty.craigslist.org//cto/5888357432.html,2011,Toyota,Camry,$8995,California,125000,automatic,gas,grey,4 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5888263353.html,2013,Toyota,Camry,$9000,California,76728,automatic,gas,silver,4 cylinders,like new,salvage
https://orangecounty.craigslist.org//cto/5843302718.html,2010,Toyota,Camry,$13500,California,49000,automatic,gas,white,6 cylinders,excellent,clean
https://orangecounty.craigslist.org//cto/5887717167.html,2010,Toyota,Camry,$2015,California,unk,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//ctd/5887712121.html,2013,Toyota,Camry,$13498,California,36193,automatic,gas,unk,unk,unk,clean
https://orangecounty.craigslist.org//cto/5887046029.html,2010,Toyota,Camry,$2014,California,unk,automatic,gas,unk,unk,unk,clean
